NT_1	NT_2	NT_3	Pit_1	Pit_2	Pit_3	T2_1	T2_2	T2_3	T2wPit_1	T2wPit_2	T2WPit_3
ENSG00000162413.17	5.48386833555735	5.44211560349971	5.45581155290451	5.72068520383145	5.87188652913142	5.77917846387482	6.28944420715962	6.246266937635	6.18124145650754	6.27915879617821	6.15957426595762	6.17920252515616
ENSG00000116273.6	3.96194274804545	4.47621685500107	4.21368854399892	4.19961916209032	4.20534273735662	4.08273142153332	4.28267297737369	4.36944816380753	4.31293928400561	4.34340533662261	4.2728177759483	4.40784832098012
ENSG00000041988.16	2.78024400579848	2.48194342553966	2.38525286756692	2.57739643588809	2.53098599928444	2.30830299888476	2.78086434572631	2.98911481367936	2.69972715734349	2.84480073597347	2.53368745699562	2.67896120244246
ENSG00000007923.17	5.09606737260337	5.48109958894462	5.25149434426205	5.2214652665593	5.31127783214304	5.33648516529877	5.65230701005529	5.68407745918594	5.56859396761123	5.64600598874858	5.52071918293365	5.65968861752166
ENSG00000171735.19	4.83372557370695	4.67271084469142	4.83656104748006	4.67100782752868	4.68115950957459	4.65032519465423	4.4571414835599	4.63882846204795	4.73643742001638	4.56632855536628	4.55107521125643	4.48599743481992
ENSG00000049245.13	7.3273176394995	7.31859262948465	7.26375013144858	7.48048725233993	7.39780012327458	7.28917792473489	7.24856326564245	7.42951034086609	7.6301544211963	7.42657792789182	7.49832601127515	7.34696546977951
ENSG00000049246.15	5.13047392305994	5.13057306368476	5.04629702259699	5.55274884293078	5.63880939858662	5.59433899532066	5.61715496599066	5.63378603920351	5.53191787913605	5.7806822511588	5.73419900397559	5.71678866182034
ENSG00000049249.9	-0.886991771005757	-0.280399287743665	0.00259093985558083	1.74712451966246	1.75581525232998	1.79734821217704	0.771720080182504	0.540858901464464	0.866559155573791	1.45244878963561	2.09964446806502	1.71760325267038
ENSG00000116288.13	6.39876640287272	6.31918531056263	6.44337544427659	6.40755267074969	6.2150409446602	6.18792434269053	6.20357646196708	6.23404285455557	6.51626454469126	6.08136485048256	6.18962176302117	6.16847002907967
ENSG00000116285.13	5.81058156177338	5.85481088547997	5.96812431134215	6.38800233421686	6.46139272129603	6.50468434445497	5.82244962147016	5.69971848731989	5.76127487295976	6.45555614298285	6.47145456131666	6.58155722803151
ENSG00000142599.19	7.76283011270899	7.77376497096341	7.76329845971358	7.58904371844329	7.6403033786796	7.65094616628299	7.80148437555712	7.76143127126222	7.67612707868106	7.66439210025522	7.64866890137717	7.74317166586332
ENSG00000074800.16	8.39771291526942	8.61369717966555	8.45250860631752	8.68052378712661	8.59636963342156	8.65032209144558	8.77111581480355	8.74828394186799	8.95158976679666	8.91377556784213	8.95607364877575	8.98144321773943
ENSG00000180758.12	4.44762355066057	4.70300719534431	4.78116424735275	4.91298977663715	5.06370799101761	5.15839311327906	4.95815366542597	5.08916357537598	5.01925843818883	5.11988237692332	5.12003832666789	5.26355189169184
ENSG00000228526.7	3.49472658100175	3.38651851593417	3.47285383354203	3.53607203807181	3.71509764670193	3.635274228456	3.70115820892079	3.5188622081211	3.02613686259114	4.07318129805248	3.35100388440611	3.71930668336552
ENSG00000234546.5	2.68056428053854	2.4537130127872	2.2907705275702	2.16977083222659	2.22885641388009	2.51980481554598	2.50131537840555	2.46936621478091	2.40749166687297	2.38521558979712	2.25927982805523	2.22814070986442
ENSG00000049239.13	6.69157830873545	6.77205544820015	6.74787711781574	6.83428731878742	6.83059903103045	6.77231316937001	7.06248320754665	6.82300415369031	6.86143164848256	7.00696215095122	6.91445680031868	7.06507882940308
ENSG00000171621.14	6.40189964851348	6.50947992976531	6.34394758104838	6.31297504046705	6.32524591356376	6.28436144344556	6.60506049462257	6.50341325575842	6.60721519068558	6.46789426044407	6.47796248198489	6.47583869976054
ENSG00000171612.7	3.04361447636167	3.0136970072277	3.14850226105808	3.44169666217335	3.31171070539386	3.24358930311663	2.95613693743973	3.08751399782554	3.37093699999231	3.37155512120924	3.39293211772308	3.02194068696843
ENSG00000188807.13	3.21015583541286	2.87155646745415	3.46205514325087	2.97191969263813	3.11965165677511	2.64533448979178	3.47899553119435	3.19232012648038	3.1050811001552	3.08159613345136	3.26330463888652	3.31450207335751
ENSG00000171608.17	5.00833738562502	4.99512148213008	4.88182904822826	4.95155340017006	5.01905749686515	5.05659928168128	5.18953248850694	4.92396916160265	5.03547335192249	5.02621124012755	4.919485850642	4.98397848982969
ENSG00000231789.3	0.938547793528824	-0.280399287743665	0.32213956314119	0.786227024012722	1.04734261797808	0.475455989384752	1.28313916415069	1.27237163239337	1.13083643205362	1.14343960743287	0.747005556765579	0.835987253158542
ENSG00000171603.18	8.45502221211461	8.67497136931156	8.56054129230905	8.46186351728505	8.53086191584362	8.5819593594289	8.58413844713243	8.58763507369468	8.52501513420565	8.4264811187538	8.56298514907184	8.54225163828361
ENSG00000178585.15	4.70265573631041	4.77322350706689	4.63498970419609	5.00386723844133	5.11006234683947	5.15487863477973	4.84926453349202	4.7199579930615	5.08694748454758	4.99585933876833	4.96188878397927	5.07414114941574
ENSG00000162441.12	6.26750623257265	6.20738800141539	6.22443309595762	6.23539455621656	6.23887869603631	6.19991118593649	6.22552726630367	6.28677487623956	6.49882814460616	6.23796885808687	6.24980479294196	6.22963549511307
ENSG00000173614.14	3.68164431792353	3.92799237240467	3.84115104966649	3.77843806961914	3.82293350290198	3.77002304404445	4.22780037384212	4.05194379864158	4.25179815658661	4.09243409287928	4.01982866511437	4.03506002367985
ENSG00000130939.20	6.12688949482234	6.42111747796983	6.23873936090687	6.31000997821927	6.30147313230107	6.35191416630634	6.41619598040616	6.47642630316514	6.32174007222181	6.33680256119549	6.32211843776459	6.280359945023
ENSG00000054523.19	6.58120184960404	6.72115406395215	6.7186876699792	6.8435444284253	6.86163794483077	6.84390338718503	7.13220228786814	7.08021672672787	7.01242281461698	7.12228936173586	7.14560759837403	7.21237353016517
ENSG00000142657.21	7.13548398580854	7.38456765771115	7.33132003021157	7.84450272958743	7.86777183626885	7.88849553777394	7.59717214584098	7.49244078089846	7.5771406058386	7.69777451280015	7.74084360112615	7.87047242036991
ENSG00000175279.22	2.16506471740849	1.7746015725971	1.99364761294129	2.08904712742398	2.01163761497593	1.56288717883279	1.69633358878833	2.26826841701256	2.24965452747275	1.32802393187339	1.05623338132698	1.85245527248868
ENSG00000160049.12	5.62193752284729	5.75133872027487	5.64672069837175	5.60931982655386	5.5741412165978	5.59433899532066	5.83474270327905	5.76276899161958	5.83492233935477	5.77672046758058	5.61230440781587	5.74306700608834
ENSG00000142655.13	4.38566795551498	4.4406992309247	4.4062533899024	4.46251468926549	4.32021197181645	4.41791459608489	4.2945885624533	4.39162928866083	4.48220111826138	4.41141868414508	4.28771152811233	4.24576672100085
ENSG00000130940.15	7.1652909606319	7.11508975915918	7.09664966233713	6.99983397108555	7.04858324473401	7.03477392653162	7.41404428911228	7.41401669175434	7.36416701839357	7.17667047113572	7.17594434463428	7.28968188588583
ENSG00000120948.19	6.41125876246763	6.57155129756248	6.51956361658085	6.48189095359941	6.5163530364597	6.49359730336202	6.5857946374286	6.59228550387002	6.62071233229237	6.56297519410399	6.5242868933735	6.57993825670866
ENSG00000116649.10	3.74223022766461	4.24043751846375	3.9610453736218	4.02979831086932	4.17077004079389	4.20332116896435	4.17075789985732	3.78496442750539	3.68029460765334	4.22045634357714	4.17206964385039	4.3329323760083
ENSG00000171824.14	6.04107019288999	5.98626521136035	5.95084861188339	6.07697482614704	6.01356003237913	5.98319215629646	6.15864675427988	6.14870482466686	6.22254637553705	6.05052320360513	6.13713476055325	6.04950880471166
ENSG00000198793.13	6.64738002501138	6.90179493835262	6.76884048152015	6.850703560044	6.86163794483077	6.98616102564801	7.10370209157817	7.0174115975879	7.00523702627035	7.03542675003547	7.02302182297022	7.03939118303252
ENSG00000120942.14	3.38500506199144	3.65797605866662	3.42916545891983	3.67160868752514	3.63281795910196	3.67507505448409	3.7189525699513	3.80988616634049	3.61705326962721	3.53995427751537	3.66800755653831	3.75417898766567
ENSG00000116661.11	3.91884708674129	3.90732391124417	4.03577452137767	3.9634151152785	3.86679048376399	3.72333000902653	3.90921483815629	4.00235480087327	3.75073446197254	3.74851500409318	3.81917564465663	3.5443997693918
ENSG00000132879.14	3.38500506199144	3.27800096019826	3.48357229490211	3.12822355596031	3.49055474917734	3.20332568128729	3.24112439437729	3.16682370497464	3.30558466644352	3.35038631179527	3.16992726281838	3.25080954314482
ENSG00000116663.11	4.12250099534129	4.07423198761105	3.9988937487509	4.25617064272204	4.44118414767363	4.19649992449378	4.40862556592715	4.41888455810159	4.3523063653096	4.51016840806322	4.48152918668241	4.42237574617092
ENSG00000116670.15	2.10481227390549	2.36554782913872	2.43027061690841	2.57739643588809	2.60190493188951	2.38230274120038	2.5813145396125	2.58937446655232	2.65844380481094	2.46616629199557	2.31849591550194	2.7497901493802
